Taxa,../using-metazoa-added/004.kraken2.txt, ../using-metazoa-added/048.kraken2.txt, ../using-metazoa-added/023.kraken2.txt, ../using-metazoa-added/016.kraken2.txt, ../using-metazoa-added/045.kraken2.txt, ../using-metazoa-added/031.kraken2.txt, ../using-metazoa-added/013.kraken2.txt, ../using-metazoa-added/026.kraken2.txt, ../using-metazoa-added/022.kraken2.txt, ../using-metazoa-added/010.kraken2.txt, ../using-metazoa-added/040.kraken2.txt, ../using-metazoa-added/047.kraken2.txt, ../using-metazoa-added/039.kraken2.txt, ../using-metazoa-added/044.kraken2.txt, ../using-metazoa-added/014.kraken2.txt, ../using-metazoa-added/015.kraken2.txt, ../using-metazoa-added/028.kraken2.txt, ../using-metazoa-added/006.kraken2.txt, ../using-metazoa-added/033.kraken2.txt, ../using-metazoa-added/021.kraken2.txt, ../using-metazoa-added/018.kraken2.txt, ../using-metazoa-added/019.kraken2.txt, ../using-metazoa-added/035.kraken2.txt, ../using-metazoa-added/007.kraken2.txt, ../using-metazoa-added/001.kraken2.txt, ../using-metazoa-added/041.kraken2.txt, ../using-metazoa-added/024.kraken2.txt, ../using-metazoa-added/036.kraken2.txt, ../using-metazoa-added/042.kraken2.txt, ../using-metazoa-added/012.kraken2.txt, ../using-metazoa-added/043.kraken2.txt, ../using-metazoa-added/030.kraken2.txt, ../using-metazoa-added/005.kraken2.txt, ../using-metazoa-added/003.kraken2.txt, ../using-metazoa-added/020.kraken2.txt, ../using-metazoa-added/011.kraken2.txt, ../using-metazoa-added/050.kraken2.txt, ../using-metazoa-added/027.kraken2.txt, ../using-metazoa-added/038.kraken2.txt, ../using-metazoa-added/009.kraken2.txt, ../using-metazoa-added/002.kraken2.txt, ../using-metazoa-added/017.kraken2.txt, ../using-metazoa-added/034.kraken2.txt, ../using-metazoa-added/025.kraken2.txt, ../using-metazoa-added/008.kraken2.txt, ../using-metazoa-added/037.kraken2.txt, ../using-metazoa-added/049.kraken2.txt, ../using-metazoa-added/029.kraken2.txt, ../using-metazoa-added/032.kraken2.txt, ../using-metazoa-added/046.kraken2.txt
Aves,108920, 22231, 45, 65, 399495, 1714, 30139, 540, 450, 61, 3615, 33571, 104481, 2698, 7485, 348436, 1819, 6625, 234915, 11698, 86519, 2587, 11985, 259124, 42359, 4319, 264762, 40477, 74630, 317, 78110, 1516, 101082, 17333, 88, 178669, 284, 1870, 386560, 5183, 6165, 138, 198, 406, 12078, 41622, 585, 1949, 1760, 60
Lepidosauria,345, 846, 0, 1, 13, 3, 0, 0, 0, 2, 46282, 591, 6853, 3, 1, 9, 13, 166, 7, 504, 6, 4, 7, 12, 417, 51209, 830, 9, 3, 2, 2, 15, 467, 33, 1, 3, 0, 3, 16, 160326, 55, 0, 0, 1, 129909, 14, 0, 5, 30, 2
Mammalia,7496, 145008, 260645, 196644, 11595, 607, 438, 208186, 265255, 268704, 126634, 111784, 72274, 138, 1592, 4073, 90611, 36633, 4313, 18783, 200745, 194, 3337, 1109, 17006, 215957, 589, 93337, 112878, 197846, 198137, 9700, 9135, 10380, 248007, 388082, 152, 99310, 2922, 23122, 44677, 261726, 248044, 219363, 12540, 113425, 107, 8182, 696, 146840
Amphibia,0, 69, 0, 0, 116, 0, 2, 0, 0, 0, 4068, 41, 13, 16, 0, 17, 0, 83557, 32, 169, 0, 13, 0, 6, 79, 7480, 0, 0, 8, 54, 5, 0, 1, 4, 0, 26, 0, 0, 5608, 61, 465, 0, 24, 0, 37, 3, 0, 0, 1, 0
Actinopteri,146, 3814, 0, 3, 10191, 46, 320, 14, 5, 0, 1, 3531, 36918, 101140, 124, 2737, 31, 34, 80767, 175, 2, 104896, 208, 21, 1429, 5, 6, 9733, 4, 3, 9, 49, 134, 86, 0, 80, 1, 11, 858, 14, 95, 10, 1, 9, 10, 9448, 18, 30, 36, 11
Cladistia,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Chondrichthyes,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Myxini,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hyperoartia,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Ascidiacea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Appendicularia,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Leptocardii,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Crinoidea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Asteroidea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Ophiuroidea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Echinoidea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Holothuroidea,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Enteropneusta,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Pterobranchia,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Malacostraca,29353, 1, 0, 1, 0, 4, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 6, 3, 1, 3, 0, 0, 74, 0, 264, 0, 1, 1, 0, 0, 0, 88, 37891, 2, 0, 1, 0, 0, 320, 0, 9, 0, 1, 0, 0, 0, 0, 3, 7, 0
