Taxa,../using-metazoa-added/004.kraken2.txt, ../using-metazoa-added/048.kraken2.txt, ../using-metazoa-added/023.kraken2.txt, ../using-metazoa-added/016.kraken2.txt, ../using-metazoa-added/045.kraken2.txt, ../using-metazoa-added/031.kraken2.txt, ../using-metazoa-added/013.kraken2.txt, ../using-metazoa-added/026.kraken2.txt, ../using-metazoa-added/022.kraken2.txt, ../using-metazoa-added/010.kraken2.txt, ../using-metazoa-added/040.kraken2.txt, ../using-metazoa-added/047.kraken2.txt, ../using-metazoa-added/039.kraken2.txt, ../using-metazoa-added/044.kraken2.txt, ../using-metazoa-added/014.kraken2.txt, ../using-metazoa-added/015.kraken2.txt, ../using-metazoa-added/028.kraken2.txt, ../using-metazoa-added/006.kraken2.txt, ../using-metazoa-added/033.kraken2.txt, ../using-metazoa-added/021.kraken2.txt, ../using-metazoa-added/018.kraken2.txt, ../using-metazoa-added/019.kraken2.txt, ../using-metazoa-added/035.kraken2.txt, ../using-metazoa-added/007.kraken2.txt, ../using-metazoa-added/001.kraken2.txt, ../using-metazoa-added/041.kraken2.txt, ../using-metazoa-added/024.kraken2.txt, ../using-metazoa-added/036.kraken2.txt, ../using-metazoa-added/042.kraken2.txt, ../using-metazoa-added/012.kraken2.txt, ../using-metazoa-added/043.kraken2.txt, ../using-metazoa-added/030.kraken2.txt, ../using-metazoa-added/005.kraken2.txt, ../using-metazoa-added/003.kraken2.txt, ../using-metazoa-added/020.kraken2.txt, ../using-metazoa-added/011.kraken2.txt, ../using-metazoa-added/050.kraken2.txt, ../using-metazoa-added/027.kraken2.txt, ../using-metazoa-added/038.kraken2.txt, ../using-metazoa-added/009.kraken2.txt, ../using-metazoa-added/002.kraken2.txt, ../using-metazoa-added/017.kraken2.txt, ../using-metazoa-added/034.kraken2.txt, ../using-metazoa-added/025.kraken2.txt, ../using-metazoa-added/008.kraken2.txt, ../using-metazoa-added/037.kraken2.txt, ../using-metazoa-added/049.kraken2.txt, ../using-metazoa-added/029.kraken2.txt, ../using-metazoa-added/032.kraken2.txt, ../using-metazoa-added/046.kraken2.txt
Columbidae,105316, 11311, 7, 14, 48, 204, 8947, 62, 29, 14, 22, 17832, 102145, 40, 2107, 59, 227, 52, 42, 1348, 5, 37, 5758, 274, 34383, 39, 243625, 39978, 11, 26, 24, 251, 97743, 9775, 13, 30, 27, 245, 449, 7, 1724, 84, 15, 69, 31, 41015, 86, 233, 247, 4
Raphidae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Phasianidae,3240, 10639, 24, 51, 399295, 1508, 21167, 478, 231, 46, 3590, 15496, 186, 2653, 5372, 348227, 1589, 6569, 234744, 10340, 86424, 2549, 6209, 258694, 7790, 4276, 20, 23, 74556, 290, 78029, 1262, 3035, 7492, 75, 178514, 257, 1624, 385935, 5169, 4371, 54, 182, 336, 12040, 31, 497, 1709, 1512, 56
Megapodiidae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Cracidae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Numididae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Odontophoridae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Anhimidae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Anatidae,0, 0, 14, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Anseranatidae,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
